symbol,price,week52_low,week52_high,range_pct,off_high_pct,off_low_pct,screener_price,drift_pct,status
MDT,85.3900,73.3100,106.3300,36.58,-19.69,16.48,85.3900,0.00,ok
BNY,156.3300,99.6700,163.7700,88.39,-4.54,56.85,156.3300,0.00,ok
ADP,266.4600,188.1600,310.0800,64.22,-14.07,41.61,266.4600,0.00,ok
SO,94.5400,83.8000,100.8400,63.03,-6.25,12.82,94.5400,0.00,ok
GD,383.4200,306.7700,400.0000,82.22,-4.14,24.99,383.4200,0.00,ok
MCK,856.1900,637.0000,999.0000,60.55,-14.30,34.41,856.1900,0.00,ok
SNOW,293.2800,118.3000,304.1700,94.14,-3.58,147.91,293.2800,0.00,ok
EQIX,1019.2800,720.6200,1128.6800,73.19,-9.69,41.44,1019.2800,0.00,ok
PNC,249.8700,176.8800,256.4900,91.68,-2.58,41.27,249.8700,0.00,ok
PWR,667.3600,363.0100,788.7500,71.49,-15.39,83.84,667.3600,0.00,ok
ADBE,250.4100,190.1200,370.8600,33.36,-32.48,31.71,250.4100,0.00,ok
NEM,93.7100,63.1300,134.8800,42.62,-30.52,48.44,93.7100,0.00,ok
NET,278.9800,158.8300,293.8000,89.02,-5.04,75.65,278.9800,0.00,ok
MAR,372.8300,255.2700,410.9800,75.50,-9.28,46.05,372.8300,0.00,ok
DUK,125.4300,113.9000,134.4900,56.00,-6.74,10.12,125.4300,0.00,ok
USB,63.0100,43.8300,64.8400,91.29,-2.82,43.76,63.0100,0.00,ok
CME,267.7900,218.3100,329.1600,44.64,-18.64,22.67,267.7900,0.00,ok
DDOG,267.9700,98.0100,278.7580,94.03,-3.87,173.41,267.9700,0.00,ok
BX,127.7500,101.7300,190.0900,29.45,-32.79,25.58,127.7500,0.00,ok
CEG,262.7500,228.6300,412.7000,18.54,-36.33,14.92,262.7500,0.00,ok
MNST,96.3800,58.5400,100.3400,90.53,-3.95,64.64,96.3800,0.00,ok
CDNS,340.0200,262.7500,416.6900,50.19,-18.40,29.41,340.0200,0.00,ok
CSX,50.4000,31.8000,53.6000,85.32,-5.97,58.49,50.4000,0.00,ok
VRT,241.5700,118.7000,379.9350,47.03,-36.42,103.51,241.5700,0.00,ok
VLO,312.9000,130.7800,320.2400,96.13,-2.29,139.26,312.9000,0.00,ok
MPC,316.4700,158.0000,326.9200,93.81,-3.20,100.30,316.4700,0.00,ok
ABNB,151.5200,110.8100,156.5000,89.10,-3.18,36.74,151.5200,0.00,ok
KKR,101.4300,82.6700,152.1000,27.02,-33.31,22.69,101.4300,0.00,ok
MMM,176.2800,139.3400,184.9000,81.08,-4.66,26.51,176.2800,0.00,ok
WM,226.5500,194.1100,248.1300,60.05,-8.70,16.71,226.5500,0.00,ok
MRSH,189.6900,156.6000,213.8000,57.85,-11.28,21.13,189.6900,0.00,ok
FCX,62.6300,35.1500,72.2800,74.01,-13.35,78.18,62.6300,0.00,ok
UPS,104.2200,82.0000,122.4100,54.99,-14.86,27.10,104.2200,0.00,ok
CMI,634.2000,356.9200,737.7600,72.81,-14.04,77.69,634.2000,0.00,ok
WMB,71.5400,55.8200,80.0800,64.80,-10.66,28.16,71.5400,0.00,ok
HCA,402.5900,353.9900,556.5200,24.00,-27.66,13.73,402.5900,0.00,ok
INTU,316.0700,252.8400,794.0900,11.68,-60.20,25.01,316.0700,0.00,ok
ICE,152.4800,121.7900,189.3500,45.43,-19.47,25.20,152.4800,0.00,ok
DASH,196.1600,143.3000,285.5000,37.17,-31.29,36.89,196.1600,0.00,ok
RCL,318.3000,232.1000,366.5000,64.14,-13.15,37.14,318.3000,0.00,ok
CMCSA,23.9600,21.2800,32.8600,23.14,-27.08,12.59,23.9600,0.00,ok
PSX,211.6800,118.0700,216.0800,95.51,-2.04,79.28,211.6800,0.00,ok
EMR,149.8200,122.6400,165.1500,63.94,-9.28,22.16,149.8200,0.00,ok
MCO,478.3800,402.2800,546.8800,52.63,-12.53,18.92,478.3800,0.00,ok
SHW,340.8500,289.8600,379.6500,56.79,-10.22,17.59,340.8500,0.00,ok
ITW,286.9500,238.8200,303.1600,74.81,-5.35,20.15,286.9500,0.00,ok
EPD,38.0500,30.0100,40.1700,79.13,-5.28,26.79,38.0500,0.00,ok
CTAS,204.6300,161.1600,226.7500,66.28,-9.76,26.97,204.6300,0.00,ok
ELV,375.8400,273.7100,436.2400,62.84,-13.85,37.31,375.8400,0.00,ok
AMT,173.3600,160.0600,214.7900,24.30,-19.29,8.31,173.3600,0.00,ok
ROST,251.0700,137.5800,255.3000,96.41,-1.66,82.49,251.0700,0.00,ok
REGN,762.6300,541.0000,821.1100,79.12,-7.12,40.97,762.6300,0.00,ok
MDLZ,62.3100,51.2000,66.6500,71.91,-6.51,21.70,62.3100,0.00,ok
EOG,148.6900,101.5900,151.8700,93.68,-2.09,46.36,148.6900,0.00,ok
ECL,277.6300,243.1500,309.2700,52.15,-10.23,14.18,277.6300,0.00,ok
TRV,374.3600,252.2600,398.7000,83.38,-6.10,48.40,374.3600,0.00,ok
GM,88.8600,52.0900,91.8500,92.48,-3.26,70.59,88.8600,0.00,ok
HOOD,86.5600,63.5150,153.8600,25.51,-43.74,36.28,86.5600,0.00,ok
NOC,542.4800,479.0200,774.0000,21.51,-29.91,13.25,542.4800,0.00,ok
HON,243.0500,195.8680,260.2830,73.25,-6.62,24.09,243.0500,0.00,ok
AON,360.5500,304.5900,382.3400,71.97,-5.70,18.37,360.5500,0.00,ok
NSC,335.4800,268.2300,358.6000,74.42,-6.45,25.07,335.4800,0.00,ok
SNPS,388.7600,366.0000,636.6100,8.41,-38.93,6.22,388.7600,0.00,ok
SPG,229.3700,159.9900,238.5000,88.37,-3.83,43.37,229.3700,0.00,ok
ORLY,89.3500,82.5900,108.7200,25.87,-17.82,8.19,89.3500,0.00,ok
CI,279.0500,239.5100,315.4700,52.05,-11.54,16.51,279.0500,0.00,ok
CL,91.3000,74.5500,99.3300,67.59,-8.08,22.47,91.3000,0.00,ok
FDX,307.4000,174.1340,345.3700,77.83,-10.99,76.53,307.4000,0.00,ok
APO,125.5900,99.5600,153.2900,48.45,-18.07,26.15,125.5900,0.00,ok
MSI,435.7500,359.3600,492.2200,57.50,-11.47,21.26,435.7500,0.00,ok
HLT,320.4900,253.5400,358.0000,64.09,-10.48,26.41,320.4900,0.00,ok
KMI,32.1800,25.6000,34.8100,71.44,-7.56,25.70,32.1800,0.00,ok
DLR,188.5200,146.2300,208.1400,68.31,-9.43,28.92,188.5200,0.00,ok
TDG,1254.3800,1123.6100,1616.8900,26.51,-22.42,11.64,1254.3800,0.00,ok
MPWR,1426.0300,774.1400,1714.0900,69.35,-16.81,84.21,1426.0300,0.00,ok
PCAR,132.6800,92.2500,139.2400,86.04,-4.71,43.83,132.6800,0.00,ok
AEP,127.8500,105.7000,140.5800,63.50,-9.06,20.96,127.8500,0.00,ok
BSX,46.7300,42.2000,109.5000,6.73,-57.32,10.73,46.7300,0.00,ok
CVNA,62.3600,54.4640,97.3780,18.40,-35.96,14.50,62.3600,0.00,ok
ALL,264.0800,188.0800,277.2200,85.26,-4.74,40.41,264.0800,0.00,ok
URI,1079.2600,701.5900,1177.6700,79.33,-8.36,53.83,1079.2600,0.00,ok
