symbol,exchange,cusip,company,total_shares,total_market_value,n_funds,funds,by_fund_shares
BFLY,NYSE,124155102,BUTTERFLY NETWORK INC,4758987,40070670.54,1,ARKG,ARKG=4758987
GOOGL,NASDAQ,02079K305,ALPHABET INC-CL A,109960,39852802.80,4,ARKK|ARKQ|ARKW|ARKX,ARKK=75693;ARKQ=15684;ARKW=12249;ARKX=6334
CERS,NASDAQ,157085101,CERUS CORP,15479196,35137774.92,2,ARKG|ARKK,ARKG=7205226;ARKK=8273970
AUR,NASDAQ,051774107,AURORA INNOVATION INC,5187015,34701130.35,1,ARKQ,ARKQ=5187015
CAT,NYSE,149123101,CATERPILLAR INC,38923,33905046.84,1,ARKQ,ARKQ=38923
SDGR,NASDAQ,80810D103,SCHRODINGER INC,2037517,33415278.80,1,ARKG,ARKG=2037517
NET,NYSE,18915M107,CLOUDFLARE INC - CLASS A,113897,33367265.12,1,ARKW,ARKW=113897
SPOT,NYSE,L8681T102,SPOTIFY TECHNOLOGY SA,67811,32700498.53,2,ARKF|ARKW,ARKF=26476;ARKW=41335
CCJ,NYSE,13321L108,CAMECO CORP,325233,30659714.91,1,ARKQ,ARKQ=325233
SYM,NASDAQ,87151X101,SYMBOTIC INC,657440,30584108.80,1,ARKQ,ARKQ=657440
PACB,NASDAQ,69404D108,PACIFIC BIOSCIENCES OF CALIF,23397905,30417276.50,2,ARKG|ARKK,ARKG=10603919;ARKK=12793986
IONS,NASDAQ,462222100,IONIS PHARMACEUTICALS INC,530317,28737878.23,1,ARKG,ARKG=530317
RBRK,NYSE,781154109,RUBRIK INC-A,331406,28106542.86,1,ARKW,ARKW=331406
SNPS,NASDAQ,871607107,SYNOPSYS INC,69689,27932744.98,3,ARKQ|ARKX|PRNT,ARKQ=43797;ARKX=18862;PRNT=7030
P,NYSE,74624M102,EVERPURE INC-A,329159,27563774.66,1,ARKW,ARKW=329159
ALMR,NASDAQ,010911105,ALAMAR BIOSCIENCES INC,954806,27068750.10,1,ARKG,ARKG=954806
ISRG,NASDAQ,46120E602,INTUITIVE SURGICAL INC,67386,25283227.20,1,ARKQ,ARKQ=67386
DKNG,NASDAQ,26142V105,DRAFTKINGS INC-CL A,1134165,24679430.40,2,ARKF|ARKW,ARKF=509034;ARKW=625131
PRME,NASDAQ,74168J101,PRIME MEDICINE INC,7494865,23084184.20,1,ARKG,ARKG=7494865
GTLB,NASDAQ,37637K108,GITLAB INC-CL A,628865,22739758.40,1,ARKW,ARKW=628865
FIG,NYSE,316841105,FIGMA INC-CL A,797927,22461645.05,1,ARKW,ARKW=797927
